INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,410108,RSL RENTS,1,2,100,100,100,15.48,14.44,12.42
201802,440402,MOBILE PHONE CHARGES,1,0,99.183,99.183,99.183,8.51,9.75,7.03
201802,510330,BABYGRO OR SLEEPSUIT,2,1,101.886,100.855,100.855,1.04,0.45,0.84
201802,420404,BUTANE GAS,1,0,100,100,100,0.3,0.17,0.24
201802,440113,WINDOW-CLEAN 3-BED SEMI,2,1,100.192,100.185,100.185,0.56,0.91,0.42
201802,212609,FROZEN GARDEN PEAS 800G-1KG,1,1,97.591,97.188,96.832,0.52,0.62,0.4
201802,310421,RED WINE- EUROPEAN 75CL,1,1,104.509,103.807,104.509,1.08,1.12,0.84
201802,640127,DVD RENT/VID ON DEM SUBS SERVS,2,0,100,100,100,0.2,0.11,0.16
201802,220325,VENDING MACHINE - SOFT DRINK,1,1,100.605,100.656,100.605,0.86,0.34,0.69
201802,440254,HOURLY RATE FOR SOLICITOR,2,1,100.114,100.109,100.109,1.08,0.19,0.9
201802,430141,DINING TABLE & 2-6 CHAIRS,2,1,104.154,103.103,103.103,1.08,1.68,0.84
201802,520206,TAMPONS-PACK OF 10-20,1,1,100.404,100.111,100.404,1.38,0.75,1.14
201802,520247,LIQUID SOAP 200-300ML,1,1,99.726,99.596,99.726,0.92,0.45,0.76
201802,410402,ENGLAND & WALES WATER CHARGES,2,0,100,100,100,4.5,5.16,3.6
201802,430419,STAINLESS STEEL CUTLERY SET,2,1,101.792,101.551,101.551,0.25,0.16,0.2
201802,520243,LIQUID FOUNDATION 30-35ML,2,1,99.44,99.177,99.177,1.15,0.6,0.95
201802,440112,ELECTRICAL SERVICE CHARGE,2,0,100,100,100,0.5,0.13,0.5
201802,630373,JIGSAW MINIMUM 100 PIECES,2,1,99.651,99.048,99.048,0.63,0.2,0.51
201802,430527,A4 PRINTER PAPER (500 REAM),1,1,101.362,101.77,101.362,0.48,0.44,0.36
201802,320124,E-CIG REFILL BOTTL/CART 2-10ML,1,1,98.995,99.188,98.995,0.22,0.19,0.18
201802,510109,MEN'S FORMAL SHIRT-LONG SLEEVE,2,1,103.05,101.891,101.891,1.04,0.54,0.84
201802,630505,GARDEN SPADE,2,1,101.791,101.652,101.652,0.45,0.66,0.36
201802,640229,GOLF GREEN FEES,1,0,100,100,100,0.4,0.48,0.35
201802,510108,MEN'S JUMPER-KNITTED,2,1,100.674,97.733,97.733,0.52,0.45,0.42
201802,610227,"CAR MOT TEST FEE, VAT EXEMPT",2,1,100.007,99.969,99.969,1.04,0.8,0.8
201802,510406,WOMEN'S PANTS,2,1,100.355,99.196,99.196,1.04,0.5,0.84
201802,520103,LADY'S UMBRELLA -FOLDING,2,1,98.244,97.516,97.516,0.25,0.44,0.2
201802,510413,MENS SOCKS 1 PAIR,2,1,99.927,99.906,99.906,0.52,0.4,0.42
201802,410637,CERAMI TILES 15X15-25X50CM BOX,2,1,98.789,98.608,98.608,0.05,0.24,0.05
201802,220316,PIZZA TAKEAWAY OR DELIVERED,1,1,99.83,99.944,99.83,1.72,1.36,1.38
201802,211511,SOFT CONTINENTAL CHEESE - KG,1,1,97.319,97.222,97.319,0.36,0.33,0.27
201802,630436,PROVINCIAL NEWSPAPERS,1,0,101.489,101.489,101.489,0.84,0.78,0.63
201802,212936,CHILLED READY MEAL-MEAT-SERVS1,1,1,100.712,101.011,100.712,0.34,1.54,0.34
201802,212504,FRESH VEG-CAULIFLOWER-EACH,1,1,100.438,99.713,99.713,0.39,0.42,0.3
201802,510533,WOMENS SHOE,2,1,112.695,107.995,107.995,1.56,0.72,1.3
201802,212214,FRUIT PASTILLES 2,1,1,100.144,100.105,100.144,0.52,0.99,0.44
201802,430613,DOG FOOD-CAN-385-400GM,1,1,99.785,99.615,99.785,1.08,1.26,0.84
201802,220124,MUFFIN/INDIVIDUAL CAKE,1,1,100.103,100.038,100.103,2.58,2.7,2.07
