INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201908,210102,LARGE LOAF-WHITE-UNSLICED-800G,1,1,100.866,100.728,100.866,0.28,0.33,0.24
201908,210106,SIX BREAD ROLLS-WHITE/BROWN,1,1,98.574,98.434,98.574,0.56,0.48,0.48
201908,210111,WHITE SLICED LOAF BRANDED 750G,1,1,101.389,101.437,101.389,0.84,0.81,0.72
201908,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,99.909,99.731,99.909,0.7,0.63,0.6
201908,210114,CHILLED GARLIC BREAD,1,1,97.787,96.656,97.787,0.84,0.75,0.72
201908,210201,FLOUR-SELF-RAISING-1.5KG,1,1,98.313,98.247,98.313,0.28,0.12,0.24
201908,210204,DRY SPAGHETTI OR PASTA 500G,1,1,107.611,107.359,107.611,0.14,0.3,0.12
201908,210211,CORN SNACK SINGLE PACK MAX 50G,1,1,106.239,106.422,106.239,0.39,0.24,0.33
201908,210212,BASMATI RICE 500G-1KG,1,1,102.073,101.28,102.073,0.28,0.42,0.24
201908,210213,BREAKFAST CEREAL 1,1,1,105.768,105.046,105.768,0.84,0.42,0.72
201908,210214,BREAKFAST CEREAL 2,1,1,106.15,105.197,106.15,1.54,0.69,1.32
201908,210215,CEREAL BAR,1,1,103.173,103.727,103.173,0.28,0.3,0.24
201908,210216,HOT OAT CEREAL,1,1,110.19,109.02,110.19,0.28,0.12,0.24
201908,210217,RICE MICRO POUCH/TRAY 220-280G,1,1,107.672,107.36,107.672,0.14,0.12,0.12
201908,210218,"POPCORN, BAG, 10-30G",1,1,101.816,102.084,101.816,0.56,0.27,0.48
201908,210301,CREAM CRACKERS PACK 200G-300G,1,1,105.29,100.066,105.29,0.42,0.54,0.36
201908,210302,PLAIN BISCUITS-200-300G,1,1,101.012,102.021,101.012,1.26,1.5,1.08
201908,210317,FRUIT PIES 4-6 PACK,1,1,99.337,99.145,99.337,0.28,0.36,0.24
201908,210319,DOUGHNUT-EACH,1,1,100.855,100.348,100.855,0.7,0.84,0.6
201908,210320,WHOLE SPONGE CAKE NOT FROZEN,1,1,97.588,98.605,97.588,0.84,0.9,0.72
201908,210321,PACK OF 5-6 INDIVIDUAL CAKES,1,1,112.877,112.929,112.877,0.98,1.14,0.84
201908,210323,BISCUITS HALF CHOC 260-400G,1,1,116.978,115.029,116.978,0.7,0.72,0.6
201908,210403,HOME KILLED BEEF-LEAN MINCE KG,1,1,97.887,97.811,97.887,0.76,0.93,0.6
201908,210406,HOME KLD BEEF-RUMP/POPES STEAK,1,1,96.58,96.345,96.58,0.95,1.26,0.75
201908,210413,HOME KILLED BEEF-TOPSIDE KG,1,1,97.653,98.691,97.653,0.38,0.45,0.3
